Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C17, C18, C19, C2, C20, C21_2, C21, C23, C24, C3, C4, C5, C6",0805,15,100n,
"C10, C14, C9",0805,3,1u,
"C12, C13",0805,2,34p,
"C15, C16",0805,2,22u,
C22,0805,1,1uf,
"C25, C26",0805,2,10µF,
"C27, C28",0805,2,0.1µF,
"C29, C30",0805,2,22µF,
C7,0805,1,10u,
C8,0805,1,10n,
D1,0805,1,RED,
D2,0805,1,GREEN,
FB1,0805,1,120R,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
"J10, J7, J8, J9",TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,4,Screw_Terminal_01x02,
"J11, J12, J13, J14, J15, J3",PinHeader_1x03_P2.54mm_Vertical,6,Conn_01x03_Pin,
"J2, J4, J5",PinHeader_1x04_P2.54mm_Vertical,3,Conn_01x04_Pin,
J6,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
L1,0805,1,3.3uh,
"R1, R12, R13, R15, R6, R7",0805,6,10k,
"R10, R9",0805,2,4.7k,
"R11, R14, R16",0805,3,100,
R17,0805,1,220,
"R2, R3",0805,2,5.1k,
R5,0805,1,1k5,
R8,0805,1,54.9k,
SW1,SW-SMD_L3.9-W3.0-P4.45,1,TS-1088R-02026,C455280
U1,LQFP-100_14x14mm_P0.5mm,1,STM32H723VGTx,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,BMI270_BOS,1,BMI270,
U4,QFN10_BMP581_BOS,1,BMP581,
U5,LGA-12_2x2mm_P0.5mm,1,LIS3MDL,
U6,SOT-23-6,1,TPS565208,
"U7, U8, U9",SOT-23-3L_AOS,3,AO3400A,
Y1,Crystal_HC49-U_Vertical,1,16MHZ,
